listing_id,date
50904,2015-05-06
50904,2021-10-10
50904,2022-05-15
345959,2012-05-12
345959,2012-08-20
345959,2013-01-28
345959,2013-02-11
345959,2013-03-19
345959,2013-05-13
345959,2013-10-28
345959,2013-12-30
345959,2014-04-22
345959,2014-06-08
345959,2014-07-16
345959,2014-07-22
345959,2014-08-16
345959,2014-10-18
345959,2014-11-16
345959,2014-12-21
345959,2014-12-29
345959,2015-02-11
345959,2015-05-03
345959,2015-07-09
345959,2015-07-15
345959,2015-10-24
345959,2015-11-23
345959,2015-12-01
345959,2016-01-10
345959,2016-04-08
345959,2016-04-16
345959,2016-06-05
345959,2016-07-27
345959,2017-01-01
345959,2017-01-31
345959,2017-06-09
345959,2017-10-09
345959,2017-11-26
345959,2018-04-02
345959,2018-04-16
345959,2018-05-14
345959,2018-07-01
345959,2018-09-13
345959,2018-09-23
345959,2018-11-22
345959,2018-12-08
345959,2018-12-26
345959,2019-01-02
345959,2019-02-25
345959,2019-03-06
345959,2019-04-08
345959,2019-06-09
345959,2019-08-30
345959,2019-10-20
345959,2019-10-25
345959,2019-12-06
345959,2020-01-03
345959,2020-02-21
345959,2020-09-22
345959,2021-03-19
345959,2021-06-20
345959,2021-07-18
345959,2021-07-28
345959,2021-08-16
345959,2021-09-19
345959,2021-10-21
345959,2021-10-25
345959,2021-11-08
345959,2021-12-11
345959,2021-12-26
345959,2022-01-06
345959,2022-01-27
345959,2022-02-07
345959,2022-03-07
345959,2022-03-20
345959,2022-05-10
345959,2022-05-23
345959,2022-05-28
345959,2022-06-04
345959,2022-06-19
345959,2022-07-16
345959,2022-09-25
345959,2022-10-07
345959,2022-10-31
345959,2022-11-14
345959,2022-11-28
345959,2022-12-12
345959,2022-12-18
345959,2023-04-15
345959,2023-04-22
345959,2023-05-01
345959,2023-05-09
345959,2023-05-30
345959,2023-06-15
345959,2023-07-29
345959,2023-08-15
345959,2023-10-02
345959,2023-10-12
345959,2023-10-17
345959,2023-10-24
345959,2023-10-31
345959,2023-11-29
345959,2023-12-10
345959,2023-12-17
345959,2023-12-31
345959,2024-01-15
345959,2024-03-28
345959,2024-04-01
345959,2024-04-16
345959,2024-05-09
345959,2024-05-20
345959,2024-05-26
345959,2024-06-02
345959,2024-06-21
345959,2024-07-03
345959,2024-07-29
345959,2024-08-06
345959,2024-08-12
345959,2024-08-16
345959,2024-10-03
345959,2024-10-20
345959,2024-11-13
345959,2024-11-18
345959,2024-12-07
345959,2024-12-15
363155,2012-07-02
363155,2012-07-30
363155,2013-03-01
363155,2013-08-04
363155,2013-08-06
363155,2013-08-12
363155,2016-05-26
363155,2016-10-18
363155,2016-11-14
363155,2016-11-22
363155,2017-01-01
363155,2017-04-17
363155,2017-04-23
363155,2017-04-29
363155,2017-06-23
363155,2017-07-24
363155,2017-07-31
363155,2018-04-29
363155,2020-10-20
363155,2020-11-06
363155,2021-05-17
363155,2021-07-28
363155,2022-03-26
363155,2022-04-03
363155,2022-04-13
363155,2022-07-30
363155,2022-11-21
363155,2023-07-11
363155,2023-07-24
363155,2023-08-06
363155,2023-10-16
363155,2023-10-24
363155,2024-07-21
366252,2012-03-29
366252,2012-04-21
366252,2012-04-22
366252,2012-04-23
366252,2012-04-25
366252,2012-04-30
366252,2012-05-04
366252,2012-05-09
366252,2012-05-13
366252,2012-05-14
366252,2012-05-16
366252,2012-05-21
366252,2012-05-26
366252,2012-05-30
366252,2012-06-01
366252,2012-06-16
366252,2012-06-21
366252,2012-06-25
366252,2012-07-29
366252,2012-08-15
366252,2012-08-27
366252,2012-09-10
366252,2012-09-19
366252,2012-09-23
366252,2012-10-14
366252,2012-10-20
366252,2012-10-22
366252,2012-10-24
366252,2012-11-16
366252,2012-11-19
366252,2012-11-26
366252,2012-12-03
366252,2012-12-11
366252,2013-01-01
366252,2013-01-02
366252,2013-04-08
366252,2013-05-06
366252,2013-05-13
366252,2013-05-16
366252,2013-06-12
366252,2013-06-16
366252,2013-07-10
366252,2013-08-14
366252,2013-10-06
366252,2013-10-07
366252,2013-12-22
366252,2014-01-26
366252,2014-02-02
366252,2014-02-16
366252,2014-02-22
366252,2014-03-01
366252,2014-07-27
366252,2014-07-30
366252,2014-08-04
366252,2014-08-11
366252,2014-09-04
366252,2014-09-23
366252,2014-09-26
366252,2014-10-04
366252,2014-10-05
366252,2014-10-27
366252,2014-11-20
366252,2014-11-30
366252,2014-12-01
366252,2014-12-13
366252,2015-02-21
366252,2015-02-28
366252,2015-03-02
366252,2015-03-08
366252,2015-03-09
366252,2015-04-06
366252,2015-04-11
366252,2015-04-18
366252,2015-05-19
366252,2015-06-06
366252,2015-06-15
366252,2015-06-22
366252,2015-07-03
366252,2015-08-15
366252,2015-09-29
366252,2015-11-09
366252,2016-05-08
366252,2016-05-16
366252,2016-06-05
366252,2016-06-13
366252,2016-06-27
366252,2016-07-25
366252,2016-08-14
366252,2016-09-30
366252,2016-10-02
366252,2017-10-23
366252,2017-10-29
366252,2017-12-22
366252,2017-12-30
366252,2018-01-01
366252,2018-01-27
366252,2018-02-06
366252,2018-03-02
366252,2018-03-04
366252,2018-07-14
